request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_64,0,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,,none,Use recommended installment plan (payment_option_177). Payments are distributed safely to maintain the required INR 36100 reserve.
request_65,5868.9,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 15500 minimum reserve.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay in full today. The balance remains safely above the INR 80700 minimum requirement throughout the forecast.
request_67,323.38,affordable_later,wait,2024-11-15:2094.00,2024-11-15,none,Wait until 2024-11-15 for full payment. Paying earlier would reduce available balance below the required USD 1200 minimum.
request_68,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 1500 minimum reserve.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay in full today. The balance remains safely above the EUR 700 minimum requirement throughout the forecast.
request_70,49689.97,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Wait until 2025-02-15 for full payment. Paying earlier would reduce available balance below the required INR 115000 minimum.
request_71,260383.35,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 8884800 minimum reserve.
request_72,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 12200 minimum reserve.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay in full today. The balance remains safely above the INR 103200 minimum requirement throughout the forecast.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay in full today. The balance remains safely above the ZAR 21900 minimum requirement throughout the forecast.
request_75,15502.44,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 39000 minimum reserve.
request_76,432.08,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 1800 minimum reserve.
request_77,60449.74,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,Pay in full today. The balance remains safely above the INR 82200 minimum requirement throughout the forecast.
request_78,44602.74,affordable_later,wait,2025-10-15:50200,2025-10-15,none,Wait until 2025-10-15 for full payment. Paying earlier would reduce available balance below the required INR 55200 minimum.
request_79,312.85,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1000 minimum reserve.
request_80,101305.82,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 121300 minimum reserve.
request_81,2076,affordable_now,full_payment,2026-07-03:2076.00,2026-07-03,none,Pay in full today. The balance remains safely above the USD 1600 minimum requirement throughout the forecast.
request_82,324.64,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 1100 minimum reserve.
request_83,7292.93,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 37800 minimum reserve.
request_84,27806.87,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 91300 minimum reserve.
request_85,502858.59,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 6396300 minimum reserve.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay in full today. The balance remains safely above the INR 84900 minimum requirement throughout the forecast.
request_87,18318.34,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 185900 minimum reserve.
request_88,10778.81,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,Use recommended installment plan (payment_option_245). Payments are distributed safely to maintain the required ZAR 25800 reserve.
request_89,9335178.11,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 12534700 minimum reserve.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay in full today. The balance remains safely above the ZAR 7600 minimum requirement throughout the forecast.
request_91,499.58,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 2100 minimum reserve.
request_92,32419.87,affordable_later,wait,2025-02-24:34034,2025-02-24,none,Wait until 2025-02-24 for full payment. Paying earlier would reduce available balance below the required ZAR 28100 minimum.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay in full today. The balance remains safely above the USD 1900 minimum requirement throughout the forecast.
request_94,572,affordable_now,full_payment,2024-12-04:572.00,2024-12-04,none,Pay in full today. The balance remains safely above the EUR 600 minimum requirement throughout the forecast.
request_95,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 145500 minimum reserve.
request_96,72756.22,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,Use recommended installment plan (payment_option_269). Payments are distributed safely to maintain the required INR 56500 reserve.
request_97,1525.69,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 29700 minimum reserve.
request_98,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 30000 minimum reserve.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay in full today. The balance remains safely above the ZAR 49100 minimum requirement throughout the forecast.
request_100,25525.94,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,Use recommended installment plan (payment_option_281). Payments are distributed safely to maintain the required ZAR 32500 reserve.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay in full today. The balance remains safely above the INR 187400 minimum requirement throughout the forecast.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Use recommended installment plan (payment_option_287). Payments are distributed safely to maintain the required EUR 900 reserve.
request_103,1895.57,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 125500 minimum reserve.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay in full today. The balance remains safely above the ZAR 24700 minimum requirement throughout the forecast.
request_105,51882.51,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632,Pay in full today. The balance remains safely above the INR 73900 minimum requirement throughout the forecast.
request_106,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1200 minimum reserve.
request_107,2445.86,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-15,none,Use recommended installment plan (payment_option_301). Payments are distributed safely to maintain the required EUR 1600 reserve.
request_108,637.61,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 24100 minimum reserve.
request_109,504.28,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1700 minimum reserve.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Use recommended installment plan (payment_option_310). Payments are distributed safely to maintain the required ZAR 11200 reserve.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay in full today. The balance remains safely above the IDR 23022800 minimum requirement throughout the forecast.
request_112,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 500 minimum reserve.
request_113,20783.52,affordable_later,wait,2026-09-15:36500,2026-09-15,none,Wait until 2026-09-15 for full payment. Paying earlier would reduce available balance below the required INR 82300 minimum.
request_114,56231.69,affordable_later,wait,2026-01-15:65300,2026-01-15,none,Wait until 2026-01-15 for full payment. Paying earlier would reduce available balance below the required INR 113400 minimum.
request_115,14428.19,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Wait until 2024-11-15 for full payment. Paying earlier would reduce available balance below the required INR 38800 minimum.
request_116,10464.97,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 80300 minimum reserve.
request_117,861.62,affordable_with_plan,full_payment,2026-07-05:880.00,2026-07-15,stop:event_10833,Pay in full today. The balance remains safely above the EUR 1000 minimum requirement throughout the forecast.
request_118,653.97,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-01-15,reduce_to:event_10914:14.00,Use recommended installment plan (payment_option_334). Payments are distributed safely to maintain the required EUR 600 reserve.
request_119,59264.49,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 151200 minimum reserve.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay in full today. The balance remains safely above the IDR 20050300 minimum requirement throughout the forecast.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay in full today. The balance remains safely above the USD 800 minimum requirement throughout the forecast.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Use recommended installment plan (payment_option_347). Payments are distributed safely to maintain the required IDR 12588500 reserve.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay in full today. The balance remains safely above the IDR 18091200 minimum requirement throughout the forecast.
request_124,1404.18,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,Use recommended installment plan (payment_option_352). Payments are distributed safely to maintain the required EUR 1600 reserve.
request_125,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 11300 minimum reserve.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay in full today. The balance remains safely above the INR 129700 minimum requirement throughout the forecast.
request_127,7699.64,affordable_later,wait,2024-10-15:23980,2024-10-15,none,Wait until 2024-10-15 for full payment. Paying earlier would reduce available balance below the required ZAR 41000 minimum.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay in full today. The balance remains safely above the ZAR 42600 minimum requirement throughout the forecast.
request_129,108.15,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 800 minimum reserve.
request_130,383.9,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 1400 minimum reserve.
request_131,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 1100 minimum reserve.
request_132,262.35,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,Wait until 2026-01-15 for full payment. Paying earlier would reduce available balance below the required USD 1100 minimum.
request_133,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 9986200 minimum reserve.
request_134,4615218.58,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 15902500 minimum reserve.
request_135,294.2,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,Pay in full today. The balance remains safely above the USD 500 minimum requirement throughout the forecast.
request_136,544.89,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,Pay in full today. The balance remains safely above the USD 1100 minimum requirement throughout the forecast.
request_137,25936.14,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 71800 minimum reserve.
request_138,749.63,affordable_with_plan,partial_payment,2026-04-07:749.63|2026-04-15:507.31,2026-04-15,none,Use partial payment: safe initial payment today followed by remaining balance on 2026-04-15 to stay above the EUR 2300 reserve.
request_139,1344.03,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,Use recommended installment plan (payment_option_395). Payments are distributed safely to maintain the required USD 1500 reserve.
request_140,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 21600 minimum reserve.
request_141,19621.62,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 67300 minimum reserve.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay in full today. The balance remains safely above the USD 1700 minimum requirement throughout the forecast.
request_143,2695.98,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 11300 minimum reserve.
request_144,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 600 minimum reserve.
request_145,27640,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 155400 minimum reserve.
request_146,17024.82,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 108600 minimum reserve.
request_147,485.82,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,Use recommended installment plan (payment_option_418). Payments are distributed safely to maintain the required EUR 900 reserve.
request_148,7229.24,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,Use recommended installment plan (payment_option_421). Payments are distributed safely to maintain the required ZAR 20000 reserve.
request_149,14791.2,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 42100 minimum reserve.
request_150,268.24,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,stop:event_13786,Use recommended installment plan (payment_option_427). Payments are distributed safely to maintain the required EUR 700 reserve.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay in full today. The balance remains safely above the IDR 31633600 minimum requirement throughout the forecast.
request_152,11117.39,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,none,Use recommended installment plan (payment_option_433). Payments are distributed safely to maintain the required ZAR 11900 reserve.
request_153,26.25,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 1400 minimum reserve.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Use recommended installment plan (payment_option_438). Payments are distributed safely to maintain the required EUR 1300 reserve.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay in full today. The balance remains safely above the INR 56300 minimum requirement throughout the forecast.
request_156,8643.78,affordable_later,wait,2026-06-15:43076,2026-06-15,none,Wait until 2026-06-15 for full payment. Paying earlier would reduce available balance below the required ZAR 26900 minimum.
request_157,4859413.89,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 15714100 minimum reserve.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Use recommended installment plan (payment_option_449). Payments are distributed safely to maintain the required INR 131400 reserve.
request_159,4151.08,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 8700 minimum reserve.
request_160,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1200 minimum reserve.
request_161,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 23010400 minimum reserve.
request_162,1443570.56,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 24161100 minimum reserve.
request_163,8849612.66,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-15,none,Use recommended installment plan (payment_option_462). Payments are distributed safely to maintain the required IDR 26728700 reserve.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Use recommended installment plan (payment_option_465). Payments are distributed safely to maintain the required IDR 29550500 reserve.
request_165,71736.45,affordable_with_plan,full_payment,2026-04-06:80600,,stop:event_15135,Pay in full today. The balance remains safely above the INR 95000 minimum requirement throughout the forecast.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Use recommended installment plan (payment_option_471). Payments are distributed safely to maintain the required USD 1700 reserve.
request_167,6601.11,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 31200 minimum reserve.
request_168,31839.32,affordable_with_plan,partial_payment,2026-01-07:31839.32|2026-01-15:17540.68,2026-01-15,none,Use partial payment: safe initial payment today followed by remaining balance on 2026-01-15 to stay above the INR 114400 reserve.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay in full today. The balance remains safely above the ZAR 18700 minimum requirement throughout the forecast.
request_170,30403204.11,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,Use recommended installment plan (payment_option_483). Payments are distributed safely to maintain the required IDR 24715800 reserve.
request_171,38.9,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 500 minimum reserve.
request_172,9385.46,affordable_with_plan,partial_payment,2024-06-05:9385.46|2024-06-15:814.54,2024-06-15,none,Use partial payment: safe initial payment today followed by remaining balance on 2024-06-15 to stay above the ZAR 27200 reserve.
request_173,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 79100 minimum reserve.
request_174,1109.74,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 700 minimum reserve.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay in full today. The balance remains safely above the EUR 1700 minimum requirement throughout the forecast.
request_176,307.22,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 600 minimum reserve.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay in full today. The balance remains safely above the USD 1300 minimum requirement throughout the forecast.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Use recommended installment plan (payment_option_506). Payments are distributed safely to maintain the required EUR 1400 reserve.
request_179,6811952.32,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 41430800 minimum reserve.
request_180,23396.58,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 37300 minimum reserve.
request_181,419.15,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 2000 minimum reserve.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay in full today. The balance remains safely above the ZAR 31100 minimum requirement throughout the forecast.
request_183,23014970.08,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,none,Use recommended installment plan (payment_option_521). Payments are distributed safely to maintain the required IDR 11878300 reserve.
request_184,8376.11,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 110800 minimum reserve.
request_185,320.66,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1300 minimum reserve.
request_186,4236.46,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the ZAR 22000 minimum reserve.
request_187,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 128300 minimum reserve.
request_188,114.75,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 900 minimum reserve.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay in full today. The balance remains safely above the EUR 400 minimum requirement throughout the forecast.
request_190,590.53,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1600 minimum reserve.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay in full today. The balance remains safely above the EUR 500 minimum requirement throughout the forecast.
request_192,134.22,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the USD 1000 minimum reserve.
request_193,36.52,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the EUR 1000 minimum reserve.
request_194,0,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the INR 113600 minimum reserve.
request_195,974.95,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-15,none,Use recommended installment plan (payment_option_555). Payments are distributed safely to maintain the required EUR 700 reserve.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay in full today. The balance remains safely above the EUR 500 minimum requirement throughout the forecast.
request_197,17738414.26,not_affordable,not_recommended,none,,none,Not recommended within the forecast period. Cannot safely complete the request while maintaining the IDR 26245900 minimum reserve.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay in full today. The balance remains safely above the INR 124300 minimum requirement throughout the forecast.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Use recommended installment plan (payment_option_569). Payments are distributed safely to maintain the required IDR 25359500 reserve.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay in full today. The balance remains safely above the IDR 20114600 minimum requirement throughout the forecast.
